#{"t_start": 1701518668.677927, "env_id": "PandaReachJoints-v3"}
r,l,t
-50.0,50,1.18783
-50.0,50,1.332641
-50.0,50,1.47644
-50.0,50,1.618708
-17.0,18,1.667312
0.0,1,1.670414
-50.0,50,1.813017
-50.0,50,1.954592
-50.0,50,2.110277
-50.0,50,2.259865
-50.0,50,2.419295
-41.0,42,2.554105
-50.0,50,3.049728
-50.0,50,3.202239
-50.0,50,3.365915
-50.0,50,3.527986
-50.0,50,3.678518
-50.0,50,3.817377
-50.0,50,3.973964
-50.0,50,4.117183
-50.0,50,4.261265
-50.0,50,4.400829
-50.0,50,4.889615
-50.0,50,5.032156
-50.0,50,5.178068
-50.0,50,5.321189
-50.0,50,5.476717
-50.0,50,5.611192
-50.0,50,5.755558
-50.0,50,5.901744
-50.0,50,6.047266
-50.0,50,6.188783
-50.0,50,6.678807
-13.0,14,6.718894
-50.0,50,6.877912
-50.0,50,7.039522
-50.0,50,7.206527
-50.0,50,7.350114
-50.0,50,7.498975
-1.0,2,7.505526
-50.0,50,7.643487
-50.0,50,7.82074
-50.0,50,7.973128
-50.0,50,8.126698
-50.0,50,8.669809
-50.0,50,8.833769
-50.0,50,8.975405
-50.0,50,9.134259
-50.0,50,9.282185
-50.0,50,9.42884
-50.0,50,9.568611
-50.0,50,9.711358
0.0,1,9.714265
-50.0,50,9.86642
0.0,1,9.870579
-50.0,50,10.006386
-50.0,50,10.491355
-50.0,50,10.636639
-50.0,50,10.770209
-50.0,50,10.922454
-50.0,50,11.07497
-50.0,50,11.227634
-50.0,50,11.373495
-50.0,50,11.51491
-21.0,22,11.576023
-50.0,50,11.725067
-50.0,50,11.873511
-50.0,50,12.374076
-50.0,50,12.513828
-28.0,29,12.596925
-50.0,50,12.74339
-10.0,11,12.777011
-50.0,50,12.911934
-50.0,50,13.057477
-50.0,50,13.213071
-50.0,50,13.369381
-50.0,50,13.518754
-8.0,9,13.542212
-50.0,50,13.688279
-50.0,50,14.176214
-50.0,50,14.320883
-50.0,50,14.468847
-50.0,50,14.617054
-50.0,50,14.75786
-50.0,50,14.900696
-1.0,2,14.907119
-45.0,46,15.031297
-48.0,49,15.187855
-50.0,50,15.341878
-50.0,50,15.492419
-50.0,50,16.006204
-50.0,50,16.142698
-50.0,50,16.289788
-50.0,50,16.436611
-50.0,50,16.581393
-50.0,50,16.730366
-50.0,50,16.86014
-50.0,50,16.998252
-50.0,50,17.138912
-50.0,50,17.275839
-50.0,50,17.412191
-50.0,50,17.943125
-50.0,50,18.083463
-50.0,50,18.220098
-50.0,50,18.375953
-50.0,50,18.515505
-50.0,50,18.654673
-50.0,50,18.805032
-50.0,50,18.939093
-9.0,10,18.970015
-50.0,50,19.108403
-7.0,8,19.130847
-50.0,50,19.273285
-50.0,50,19.792429
-50.0,50,19.933488
-50.0,50,20.083217
-50.0,50,20.227685
-50.0,50,20.373496
-50.0,50,20.508714
-50.0,50,20.66348
-50.0,50,20.826902
-50.0,50,20.993461
-50.0,50,21.125442
-50.0,50,21.615736
-50.0,50,21.765345
-50.0,50,21.922688
-50.0,50,22.05738
-1.0,2,22.063848
-50.0,50,22.223958
-50.0,50,22.377976
-50.0,50,22.513835
-50.0,50,22.657536
-50.0,50,22.793797
-50.0,50,22.931123
-50.0,50,23.411755
-50.0,50,23.550394
-50.0,50,23.696187
-35.0,36,23.791732
-50.0,50,23.918466
-50.0,50,24.059846
-50.0,50,24.204876
-50.0,50,24.339789
-50.0,50,24.493628
-50.0,50,24.646448
-50.0,50,24.811591
-50.0,50,25.305138
-50.0,50,25.469473
-1.0,2,25.475511
-9.0,10,25.50336
-37.0,38,25.606534
-50.0,50,25.752272
-35.0,36,25.852463
-50.0,50,25.999798
-50.0,50,26.145227
-50.0,50,26.283639
-9.0,10,26.311046
-50.0,50,26.450041
-50.0,50,26.597803
-50.0,50,27.058703
-50.0,50,27.206193
-50.0,50,27.341362
-50.0,50,27.485159
-50.0,50,27.6119
-50.0,50,27.744564
-50.0,50,27.894741
-50.0,50,28.047836
